AREACD,AREANM
TLF2,"Leicestershire, Rutland and Northamptonshire"
TLI44,Lewisham and Southwark
TLF3,Lincolnshire
TLF30,Lincolnshire CC
TLN0E,Lisburn and Castlereagh
TLD72,Liverpool
TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute"
TLI,London
TLH21,Luton
TLD33,Manchester
TLJ41,Medway
TLD7,Merseyside
TLI63,"Merton, Kingston upon Thames and Sutton"
TLN0F,Mid and East Antrim
TLJ45,Mid Kent
TLD45,Mid Lancashire
TLN0B,Mid Ulster
TLJ12,Milton Keynes
TLL21,Monmouthshire and Newport
TLM64,Na h-Eileanan Siar
TLN08,"Newry, Mourne and Down"
TLE13,North and North East Lincolnshire
TLC,North East
TLM5,North Eastern Scotland
TLJ37,North Hampshire
TLM84,North Lanarkshire
TLF25,North Northamptonshire
TLF15,North Nottinghamshire
TLD,North West
TLE2,North Yorkshire
TLE22,North Yorkshire CC
TLN,Northern Ireland
TLN0,Northern Ireland
TLC21,Northumberland
TLC2,"Northumberland, and Tyne and Wear"
TLH16,North and West Norfolk
TLH15,Norwich and East Norfolk
TLF14,Nottingham
TLM65,Orkney Islands
TLI5,Outer London - East and North East
TLI6,Outer London - South
TLI7,Outer London - West and North West
TLJ14,Oxfordshire CC
TLM77,"Perth and Kinross, and Stirling"
TLH11,Peterborough
TLK41,Plymouth
TLJ31,Portsmouth
TLL24,Powys
TLI53,Redbridge and Waltham Forest
TLG37,Sandwell
TLM,Scotland
TLM91,Scottish Borders
TLD73,Sefton
TLE32,Sheffield
TLM66,Shetland Islands
TLG22,Shropshire
TLG2,Shropshire and Staffordshire
TLG32,Solihull
TLK23,Somerset CC
TLF13,South and West Derbyshire
TLM94,South Ayrshire
TLJ,South East
TLJ35,South Hampshire
TLM95,South Lanarkshire
TLF16,South Nottinghamshire
TLC12,South Teesside
TLK,South West
TLL14,South West Wales
TLE3,South Yorkshire
TLJ32,Southampton
TLH31,Southend-on-Sea
TLM9,Southern Scotland
TLG24,Staffordshire CC
TLG23,Stoke-on-Trent
TLH14,Suffolk CC
TLC23,Sunderland
TLJ2,"Surrey, East and West Sussex"
TLL18,Swansea
TLK14,Swindon
TLC1,Tees Valley and Durham
TLG21,Telford and Wrekin
TLH32,Thurrock
TLK42,Torbay
TLI42,Tower Hamlets
TLC22,Tyneside
TLE45,Wakefield
TLL,Wales
TLG38,Walsall
TLI34,Wandsworth
TLD61,Warrington
TLG13,Warwickshire CC
TLM8,West Central Scotland
TLD11,West Cumbria
TLH35,West Essex
TLJ46,West Kent
TLM78,West Lothian
TLG,West Midlands
TLG3,West Midlands
TLF24,West Northamptonshire
TLJ25,West Surrey
TLJ28,West Sussex (North East)
TLJ27,West Sussex (South West)
TLL1,West Wales and The Valleys
TLE4,West Yorkshire
TLI32,Westminster
TLK15,Wiltshire
TLD74,Wirral
TLG39,Wolverhampton
TLG12,Worcestershire CC
TLE21,York
TLE,Yorkshire and The Humber
